Rank,Address,Name Tag,Balance,Percentage,Txn Count
79,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,,"150,000 Ether",0.12514690%,4
80,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,,"150,000 Ether",0.12514690%,4
81,0x77afe94859163abf0b90725d69e904ea91446c7b,,"150,000 Ether",0.12514690%,4
82,0xca582d9655a50e6512045740deb0de3a7ee5281f,,"150,000 Ether",0.12514690%,4
83,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,,"150,000 Ether",0.12514690%,5
84,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,,"150,000 Ether",0.12514690%,4
85,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,,"150,000 Ether",0.12514690%,4
86,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,,"150,000 Ether",0.12514690%,4
87,0x828103b231b39fffce028562412b3c04a4640e64,,"150,000 Ether",0.12514690%,5
88,0x4399f61795d3e50096e236a6d31ab24470c99fd5,,"148,113.392951 Ether",0.12357288%,315
89,0x4baf012726cb5ec7dda57bc2770798a38100c44d,,"145,000.09839497 Ether",0.12097541%,8
90,0xd69b0089d9ca950640f5dc9931a41a5965f00303,Gemini 7,"144,461.57638037 Ether",0.12052612%,104
91,0x8d95842b0bca501446683be598e12f1c616770c1,,"143,011.65717316 Ether",0.11931643%,55
92,0xd6216fc19db775df9774a6e33526131da7d19a2c,KuCoin 6,"142,805.99254171 Ether",0.11914484%,6493
93,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,,"141,871.70329156 Ether",0.11836536%,68
94,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,,"139,701.32900395 Ether",0.11655458%,61
95,0x8fd589aa8bfa402156a6d1ad323fec0ecee50d9d,,"138,526.8197993 Ether",0.11557468%,89
96,0x3262f13a39efaca789ae58390441c9ed76bc658a,,"138,498.04165199 Ether",0.11555067%,22
97,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,,"135,283.676786 Ether",0.11286888%,281
98,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,,"135,188.02574159 Ether",0.11278908%,60
99,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,,"132,432.53783152 Ether",0.11049014%,57
100,0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,,"130,876.36102094 Ether",0.10919180%,59
101,0xf481b7fab9f5d0e74f21ae595a749634fb053619,,"129,231.42212764 Ether",0.10781941%,62
102,0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,"126,717.48057762 Ether",0.10572200%,33
103,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,"125,507.36951691 Ether",0.10471238%,5329994
104,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,"123,587.69025187 Ether",0.10311077%,10
105,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,,"122,211.04280607 Ether",0.10196222%,3344
106,0x595faf77e533a5cd30ab5859c9a0116de8bad8db,,"120,000 Ether",0.10011752%,50
107,0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,,"120,000 Ether",0.10011752%,53
108,0x5f397b62502e255f68382791947d54c4b2d37f09,,"119,482.82052749 Ether",0.09968603%,709
109,0xf203f6ce087e91c88881d0390f54c3dcb30fcd76,,"119,119.38437862 Ether",0.09938281%,2
110,0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,,"119,060.19653535 Ether",0.09933343%,51
111,0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,,"117,773.67531856 Ether",0.09826007%,47
112,0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,,"116,255.61542554 Ether",0.09699353%,134
113,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,"115,969.72180766 Ether",0.09675500%,209343
114,0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,,"115,315.14453103 Ether",0.09620888%,104
115,0x376c3e5547c68bc26240d8dcc6729fff665a4448,Iconomi: MultiSig 1,"114,939.00001 Ether",0.09589506%,62
116,0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,,"112,000 Ether",0.09344302%,2
117,0x1b8766d041567eed306940c587e21c06ab968663,Bitfinex 14,"111,377.3141615 Ether",0.09292350%,3
118,0xd9858d573a26bca124282afa21ca4f4a06eff98a,,"110,179.66948149 Ether",0.09192429%,1
119,0x8ae880b5d35305da48b63ce3e52b22d17859f293,,"107,708.2421783 Ether",0.08986235%,3
120,0x5a710a3cdf2af218740384c52a10852d8870626a,Bitfinex 15,"107,141.16775261 Ether",0.08938923%,26
121,0xb4f4317b7885de16305d1303570879c21f378255,,"105,698.82660443 Ether",0.08818587%,124
122,0xf443864ba5d5361bbc54298551067194f980a635,,"105,698.82660443 Ether",0.08818587%,126
123,0x84bf16e7675cee22d0e0302913ccf58b45333ddf,,"105,698.82660443 Ether",0.08818587%,122
124,0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,,"105,698.82660443 Ether",0.08818587%,74
125,0x368d43c23843ca9b49dc861d80251bda6a090367,,"105,698.82660443 Ether",0.08818587%,81
126,0x79f67f689b9925710d4dda2a39d680e9cea61c81,,"105,698.82660443 Ether",0.08818587%,71
127,0x70a0a7be87deb51e1fab16d4f2bf00be1510e476,,"104,753.84358343 Ether",0.08739746%,5
128,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,"104,375.61886161 Ether",0.08708190%,4738561
129,0xbed96d0840201011df1467379a5d311e0040073a,,"103,744.75950588 Ether",0.08655556%,1
130,0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,,"102,002.99467199 Ether",0.08510239%,10
131,0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,,"101,388.61761361 Ether",0.08458981%,29
