Rank,Address,Name Tag,Balance,Percentage,Txn Count
1869,0x6d903f6003cca6255d85cca4d3b5e5146dc33925,Compound: Timelock,"5,426.41638028 Ether",0.00452725%,68
1913,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Yobit.net,"5,176.46990883 Ether",0.00431872%,2475218
2076,0x260ee8f2b0c167e0cd6119b2df923fd061dc1093,YouHodler,"4,694.38585444 Ether",0.00391651%,186049
2083,0x681ea99a65e6f392f0f5276af396ae8cad140e6d,Impact Theory Founder's Key: Deployer,"4,651.54093073 Ether",0.00388077%,409
2099,0x5dcb78343780e1b1e578ae0590dc1e868792a435,Miner: 0x5dc...435,"4,568.63068784 Ether",0.00381160%,31
2119,0xdc1664458d2f0b6090bea60a8793a4e66c2f1c00,OMG Network: Boba Gateway,"4,501.46126722 Ether",0.00375556%,10519
2120,0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3,"4,501.02 Ether",0.00375519%,40
2149,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,Aave: Lending Pool Core V1,"4,414.65260285 Ether",0.00368313%,14
2156,0xfe89cc7abb2c4183683ab71653c4cdc9b02d44b7,ENS: Timelock,"4,362.26710277 Ether",0.00363943%,32
2180,0x2daa35962a6d43eb54c48367b33d0b379c930e5e,Poolin 2,"4,289.66044407 Ether",0.00357885%,139
2203,0x4b1a99467a284cc690e3237bc69105956816f762,AscendEX 2,"4,180.88432662 Ether",0.00348810%,41792
2334,0x595063172c85b1e8ac2fe74fcb6b7dc26844cc2d,Paribu 6,"3,917.55540161 Ether",0.00326841%,45192
2344,0x70747df6ac244979a2ae9ca1e1a82899d02bbea4,Cream Finance Flash Loan Exploiter 3,"3,876.2899015 Ether",0.00323398%,30
2409,0x1cf0df2a5a20cd61d68d4489eebbf85b8d39e18a,Rarible: Treasury,"3,690.96268179 Ether",0.00307936%,31
2454,0x73326b6764187b7176ed3c00109ddc1e6264eb8b,AscendEX Hacker 2,"3,566 Ether",0.00297510%,9
2476,0x3980c9ed79d2c191a89e02fa3529c60ed6e9c04b,Metis Andromeda: Bridge,"3,505.65571716 Ether",0.00292476%,20386
2477,0xfb8131c260749c7835a08ccbdb64728de432858e,BitMEX 2,"3,502.90714645 Ether",0.00292247%,18459
2557,0xecf8f87f810ecf450940c9f60066b4a7a501d6a7,WETH: Old Contract,"3,330.91226887 Ether",0.00277897%,16937
2562,0xab3b229eb4bcff881275e7ea2f0fd24eeac8c83a,Miner: 0xab3...83a,"3,317.83119052 Ether",0.00276806%,107
2564,0x4c9a2bd661d640da3634a4988a9bd2bc0f18e5a9,Bancor: Converter 571,"3,304.11010934 Ether",0.00275661%,490
2578,0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,Tornado.Cash: 1 ETH,"3,288 Ether",0.00274317%,12414
2587,0xd1669ac6044269b59fa12c5822439f609ca54f41,CoinList 1,"3,265.40511591 Ether",0.00272432%,577976
2596,0x3ecef08d0e2dad803847e052249bb4f8bff2d5bb,MiningPoolHub,"3,250.74955481 Ether",0.00271209%,680279
2708,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,Nanopool,"3,005.81827795 Ether",0.00250775%,18246144
2789,0x12ec5befa9166fa327d4c345a93f0ac99dd2a7d8,Blox Staking: Eth2 Depositor,"2,966.07773741 Ether",0.00247459%,55
2825,0x3fd36d72f05fb1af76ee7ce9257ca850faba91ed,ElectricSheep: ES Token,"2,880.1 Ether",0.00240286%,8841
2828,0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,PowH3D,"2,875.03148745 Ether",0.00239863%,408146
2878,0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,Huobi 35,"2,796.3899977 Ether",0.00233302%,409891
2934,0x91b9d2835ad914bc1dcfe09bd1816febd04fd689,GU: Capped Vault,"2,702.39535937 Ether",0.00225460%,54
3040,0xf4b00c937b4ec4bb5ac051c3c719036c668a31ec,Secret Network: Bridge,"2,589.6822429 Ether",0.00216057%,95527
3063,0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,"2,562.91380112 Ether",0.00213823%,163596
3077,0xec4486a90371c9b66f499ff3936f29f0d5af8b7e,Multichain: Moonbeam Bridge,"2,538.10138888 Ether",0.00211753%,5994
3079,0x921760e71fb58dcc8de902ce81453e9e3d7fe253,Cream Finance Flash Loan Exploiter 2,"2,536.92146539 Ether",0.00211655%,51
3081,0x737901bea3eeb88459df9ef1be8ff3ae1b42a2ba,Aztec: Private Rollup Bridge,"2,534.69012994 Ether",0.00211469%,92649
3119,0x7c4b4bb0bb0fadbcb1c54ed55a3b4f1d456726c6,Bee Token: MultiSig,"2,500.49580924 Ether",0.00208616%,33
3145,0xa1d65e8fb6e87b60feccbc582f7f97804b725521,DXDao: DXD Token,"2,499.54625422 Ether",0.00208537%,16401
