Rank,Address,Name Tag,Balance,Percentage,Txn Count
133,0x67f706db3bbd04a250eed049386c5d09c4ee31f0,,"100,784.24721512 Ether",0.08408405%,34
134,0xfc91c862dbed337369015f5b244bee027fb135e4,,"100,695.90365484 Ether",0.08401034%,130
137,0x40f50e8352d64af0ddda6ad6c94b5774884687c3,,"100,000.00002 Ether",0.08342975%,3
138,0x2d89034424db22c9c555f14692a181b22b17e42c,,"100,000.00001 Ether",0.08342975%,3
139,0x469f1ea76d13d4b4ea20a233eac8ce6ac74d5087,,"100,000 Ether",0.08342975%,3
140,0x539c92186f7c6cc4cbf443f26ef84c595babbca1,,"100,000 Ether",0.08342975%,1
141,0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,,"100,000 Ether",0.08342975%,1
142,0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,,"100,000 Ether",0.08342975%,1
143,0x999e77c988c4c1451d3b1c104a6cca7813a9946e,,"99,272.34836012 Ether",0.08282268%,55
144,0xef381e3e29f7441bce624b9c69e3d678f1c51359,,"98,392.95402644 Ether",0.08208900%,18
145,0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,,"98,134.84097476 Ether",0.08187366%,52
147,0xf774da4418c6dca3051f0e7570829b24214e730b,,"96,693.73632631 Ether",0.08067135%,153
153,0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,,"93,032.0962768 Ether",0.07761645%,4
154,0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4,,"92,500.11439622 Ether",0.07717262%,3
155,0x2d1566722288be5525b548a642c98b546f116aa0,,"89,482.38213185 Ether",0.07465493%,120
156,0x756d64dc5edb56740fc617628dc832ddbcfd373c,,"88,214.35953663 Ether",0.07359702%,134
157,0x3ac82b914a04ac1670ee9a587042d612107e3f83,,"86,574.71182062 Ether",0.07222907%,8
159,0xe4f4866437513e7e023fb3933ba43045312b7459,,"86,484.61667426 Ether",0.07215390%,8
160,0x1bb762b16438f8b287626fd1042bc6f6848cc286,,"86,481.01573915 Ether",0.07215090%,1
161,0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,,"84,999.995411 Ether",0.07091529%,4
162,0x084ef8564b4f75a70b7ad5e8aabf73edac005397,,"84,581.8142222 Ether",0.07056640%,116
163,0x19184ab45c40c2920b0e0e31413b9434abd243ed,,"84,556.95704405 Ether",0.07054566%,311
164,0xcac9c634b4464efe71a9a5910edba06686baf457,,"84,043.83813318 Ether",0.07011757%,117
166,0x3bc643a841915a267ee067b580bd802a66001c1d,,"82,515.54985063 Ether",0.06884252%,317
167,0x47029dc4f3922706bf670d335c45550cff4f6a35,,"81,859.53200103 Ether",0.06829521%,19
168,0xb46427e2cddecb0bde40bf402361effddd4401e2,,"81,444.25824274 Ether",0.06794874%,3
169,0x37e3bc492735d3d84f2b126cffaf4f0a95bff049,,"80,645.65767698 Ether",0.06728247%,15
170,0x1085b9c6e43895cc441ba1840b940ef786683785,,"80,000.13895 Ether",0.06674392%,4
171,0x677f887fae0873bcf7e800f77bc7643063c7dece,,"80,000.13895 Ether",0.06674392%,4
172,0x28973c01a23a002e8c40dc123858fd2122e50f87,,"80,000.13895 Ether",0.06674392%,4
173,0x583197dccce7e295525acfa016eabe1b25becbc6,,"80,000.13895 Ether",0.06674392%,4
